venda_id,venda_data,venda_hora,loja_id,produto_id,qtd_vendida,valor_unitario
1,2024-08-14,15:36,4,21,4,38.57
2,2024-07-10,12:07,4,5,6,8.52
3,2024-08-14,08:45,2,6,10,7.63
4,2024-04-08,17:13,2,18,8,41.73
5,2024-06-12,14:50,5,4,3,7.64
6,2024-08-25,14:41,4,9,4,20.2
7,2024-07-28,18:23,1,5,3,29.64
8,2024-03-08,12:20,3,5,6,29.78
9,2024-01-07,11:57,3,15,2,6.74
10,2024-01-27,18:17,2,17,8,8.82
11,2024-06-14,16:05,3,8,1,27.6
12,2024-05-06,16:37,4,1,6,21.17
13,2024-04-02,10:57,1,25,5,29.19
14,2024-01-23,12:45,2,25,9,37.15
15,2024-04-14,18:34,3,3,9,23.07
16,2024-08-13,14:38,4,5,8,25.97
17,2024-02-13,17:37,1,21,2,32.59
18,2024-04-01,14:37,2,21,10,5.76
19,2024-04-22,18:45,4,13,9,6.23
20,2024-06-25,16:29,4,22,7,19.89
21,2024-08-22,15:01,4,15,8,23.87
22,2024-01-03,18:25,2,23,1,31.32
23,2024-04-17,15:14,1,10,1,29.89
24,2024-08-05,14:31,5,19,3,44.3
25,2024-06-23,17:55,3,25,5,40.08
26,2024-03-06,14:39,5,5,4,23.41
27,2024-01-10,14:56,4,21,6,44.13
28,2024-08-31,14:50,2,13,9,36.84
29,2024-08-23,18:14,2,23,1,30.0
30,2024-06-04,10:09,3,12,5,44.78
31,2024-02-12,09:20,3,21,9,3.41
32,2024-05-22,18:04,3,18,3,39.05
33,2024-01-09,13:31,1,10,4,26.66
34,2024-03-03,15:24,5,22,7,21.64
35,2024-03-14,14:48,1,12,10,37.88
36,2024-06-26,12:44,3,14,9,19.03
37,2024-02-18,15:53,2,11,2,10.92
38,2024-01-15,15:40,5,3,4,16.25
39,2024-07-20,11:58,3,15,4,15.25
40,2024-02-02,16:18,1,9,4,32.62
41,2024-05-01,17:55,3,6,10,29.49
42,2024-07-26,18:47,1,18,8,20.86
43,2024-08-10,09:52,4,11,7,24.5
44,2024-02-26,15:04,4,2,1,27.46
45,2024-08-21,14:51,2,4,9,7.21
46,2024-03-11,08:01,5,1,6,7.52
47,2024-01-30,10:31,2,4,5,43.58
48,2024-01-09,15:08,4,18,2,9.74
49,2024-04-30,09:07,1,13,6,27.76
50,2024-03-17,12:41,2,3,1,32.02
51,2024-02-23,09:23,4,5,6,9.79
52,2024-07-17,08:17,3,10,5,38.84
